blog_slug,blog_id,name,email,phone,address,content,status
বাংলাদেশে-মণিপুরী-যত-ব্যান্ড-নিংশিং-চে,,নুয়া প্রজন্মর পাঠক,,,"ঢাকা, বাংলাদেশ",বাংলাদেশর মণিপুরী ব্যান্ড এতারে একলগে চিনেদেনারকা বহুত ভাল লাগল। এলাহানি শুনানির লিংক থাকলে আরাক ভাল অইত।,Publish
টেক্সটাইল-বারো-ফ্যাশন-ডিজাইন-ভবিষ্যতর-কেইরাকহান-অরুন-কুমার-সিংহ,,নুয়া প্রজন্মর পাঠক,,,"সিলেট, বাংলাদেশ",নুয়া প্রজন্মর কর্মসংস্থানর দিকত্ত টেক্সটাইল বারো ফ্যাশন ডিজাইন লয়া লেখাহান খুব সময়োপযোগী।,Publish
চামবুট-বারো-ইরোলপা-বিষ্ণুপ্রিয়া-মণিপুরির-সুপার-ফুড-ডা-স্বপন-কুমার-সিংহ,,স্বাস্থ্য সচেতন পাঠক,,,"কমলগঞ্জ, বাংলাদেশ",চামবুট বারো ইরোলপার পুষ্টিগুণর কথা আগে এসাদে নাতামছিলাঙ। ঘরর খানি লয়া গর্ব বোধ ইল।,Publish
কঙালা-রইদগরে-কবিতা-শুভাশিস-সিনহা,,কবিতা অনুরাগী,,,"ত্রিপুরা, ভারত",কবিতাহানর ভাব বারো শব্দর ছন্দ মনত দাগ কাটল। ইমার ঠারর কবিতা পাকরিয়া বহুত ভাল লাগল।,Publish
ইতাও-তি-কবিতা-ড-রণজিত-সিংহ,,ইমার ঠারর পাঠক,,,"আসাম, ভারত","হুরকা কবিতাহান, পিছে ভাবহান বহুত ডাঙর। বারবার পাকরানি মন অর।",Publish
আতর-আলী-নাস্তানাবুদ-আব্দুল-গাফ্-ফার-রনি,,সাহিত্যপ্রেমী,,,"সিলেট, বাংলাদেশ",প্যারাডক্সর ঢঙে সমাজর বাস্তবতা দেখাদেনাহান খুব মজার বারো চিন্তার। লেখকরে ধন্যবাদ।,Publish
শ্রীনন্দকুমার-অধিকারী-জীবনী-হেমন্ত-কুমার-সিংহ,,ইতিহাস অনুরাগী,,,"মৌলভীবাজার, বাংলাদেশ",শ্রীনন্দকুমার অধিকারীর জীবন বারো কামর কথা নুয়া প্রজন্মই জানানি দরকার। লেখাহান সংরক্ষণযোগ্য।,Publish
রাস-রাখুয়ালর-তত্ত্ব-কথা-গীতশ্রী-চন্দ্র-মোহন-সিংহ,,গবেষণা অনুরাগী,,,"কমলগঞ্জ, বাংলাদেশ",রাস বারো রাখুয়ালর তত্ত্বকথাহান গভীর অইলেও সহজ ঠারে বুজাদিসে। বহুত তথ্যসমৃদ্ধ লেখা।,Publish
বিষ্ণুপ্রিয়া-মণিপুরী-ভাষা-আন্দোলন-ও-২৩-মে-নিয়ে-কিছু-কথা-পর্ব-২,,ইমার ঠারর পাঠক,,,"সিলেট, বাংলাদেশ",২৩ মে আমার ভাষার ইতিহাসত অমর দিন। ভাষা শহীদর স্মৃতি হাবি প্রজন্মই হৃদিত থোউক।,Publish
বিষ্ণুপ্রিয়া-মণিপুরির-মালঠেপ-সংস্কৃতির-উত্-স-প্রতাপ-সিংহ,,সংস্কৃতি অনুরাগী,,,"ত্রিপুরা, ভারত",মালঠেপ সংস্কৃতির উত্‍স লয়া এরে আলোচনাহান খুব দরকারি। হারাইয়া যার সংস্কৃতি সংরক্ষণত লেখাহান সহায় অইতই।,Publish
ধ্রুব-উপাখ্যান-শ্রী-নবকুমার-সিংহ,,সাহিত্যপ্রেমী,,,"আসাম, ভারত",ধ্রুবর উপাখ্যানহান সহজ বারো সুন্দর ঠারে লেঙকরিসে। হুরকা তামকরিরেউ আনন্দে পাকরে পারতই।,Publish
সাডেন-ডেথ-আমার-সমাজর-কাজে-ডাঙর-আতঙ্ক-ডা-স্বপন-কুমার-সিংহ,,স্বাস্থ্য সচেতন পাঠক,,,"মৌলভীবাজার, বাংলাদেশ",স্বাস্থ্য সচেতনতারকা বহুত দরকারি লেখা। লক্ষণ এতা জানিয়া সময়মত চিকিৎসা লওয়া জরুরি।,Publish
টমাস-আলভা-এডিসন-ইমন-সিংহ-নিংশিং-চে-২০২৪,,বিজ্ঞান অনুরাগী,,,"সিলেট, বাংলাদেশ",বিজ্ঞানীর জীবনর পরিশ্রম বারো ব্যর্থতাত্ত হিকানির বিষয়হান নুয়া তামকরিরে উৎসাহ দিতই।,Publish
জীবনর-ট্রেনে-উত্তম-কুমার-সিংহ,,কবিতা অনুরাগী,,,"কমলগঞ্জ, বাংলাদেশ",জীবনর যাত্রাহান ট্রেনর লগে তুলনা করিয়া কবিতাহান যাঙ সুন্দর অইসে। শেষ পেইয়া মনত ভাবনা রইল।,Publish
হুনামানুর-আকদিন-গল্প-শুভাশিস-সিনহা,,সাহিত্যপ্রেমী,,,"ত্রিপুরা, ভারত",ওয়ারিহান পাকরিয়া চরিত্র এতা মিল্লেঙর মিমাঙে জিতা ইল। ঠারর ব্যবহারগ বহুত সুন্দর।,Publish
প্রিয়-বাবা-দেবাঞ্জলি-সিনহা,,কবিতা অনুরাগী,,,"সিলেট, বাংলাদেশ",কবিতাহান পাকরিয়া বাপকর বানা বারো স্মৃতি মনত জাগিল। খুব হৃদয়ছোঁয়া লেখা।,Publish
মণিপুরী-ললিতকলা-একাডেমি-রামকান্ত-সিংহ,,সংস্কৃতি অনুরাগী,,,"মৌলভীবাজার, বাংলাদেশ",ললিতকলা একাডেমির কাম বারো ইতিহাস লয়া এরে তথ্যহানি জানিয়া ভাল লাগল। প্রতিষ্ঠানহান আরাকৌ চাঙথোক।,Publish
ভানুবিল-কৃষকপ্রজা-লালফামর-অমর-চারণকবি-নবদ্বীপ-সিংহ-শ্রীহেমন্ত-কুমার-সিংহ,,ইতিহাস অনুরাগী,,,"কমলগঞ্জ, বাংলাদেশ",চারণকবি নবদ্বীপ সিংহর জীবন বারো লালফামর কথা হাবি প্রজন্মর জানানি দরকার। লেখাহান খুব মূল্যবান।,Publish
কৃত্রিম-বুদ্ধিমত্তার-নুয়া-ইঙাল-ইতিহাস-উন্নয়ন-বারো-ভবিষ্যতর-চ্যালেঞ্জ,,বিজ্ঞান অনুরাগী,,,"ঢাকা, বাংলাদেশ","কৃত্রিম বুদ্ধিমত্তার ইতিহাস, সুবিধা বারো চ্যালেঞ্জ একলগে সুন্দরকরে বুজাদিসে। নুয়া প্রজন্মর কাজে এহান উপকারী লেখা।",Publish
মিয়ানমারে-আমার-মানু-সুরজিত-সিংহ-শিশির,,প্রবাসী পাঠক,,,"আসাম, ভারত",মিয়ানমারত আমার মানুর ইতিহাস লয়া এরে তথ্যহান বহুত দুর্লভ। আরাকৌ ছবি বারো মানচিত্র যোগ অইলে ভাল অইত।,Publish
