<<<<<<< HEAD
﻿title,image,category,description
মণিপুরির মিংকৌ পরিচিতি — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiEdBaHFNMNjbEjanGbmm0nlL0FrOVAFUXtI449wOOdogIGasuuBm7-sbFCd_gzeY_6bM9hZiyTszEcN1uKfm4-LEpuz2R6ZU5Fmbgcs9l73eupGL4tlNtZ97xfH6Z495mNrXjCK5U2Xd-P0QvZmABNvhwEun00rGkgoXAT7c6wYKTr5uV3ipAyo8QKK3iT/s1017/MingKou-Manipuri-Somporko-2-ninghsingche.png,সমাজ ও সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “মণিপুরির মিংকৌ পরিচিতি” লেখাটির ফিচার্ড ছবি। লেখক: শ্রীহেমন্ত কুমার সিংহ; প্রকাশ: ২৫ জুলাই ২০২৫।
নিয়মসেবা বারো বিষ্ণুপ্রিয়া মণিপুরি সমাজে ‘লেইরিক থিকরানি’ সংস্কৃতির বিবর্তনর ইতিহাস — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjoWRRUQONnoToRlvpsxggZd621MmlGupNoPMaSMjR5eua5M8Hv-Zs46Cj7WCbRtT-s78ZBckCnvvVAJvwKSrsTwoWAoG_MW_8BwtuzhAxrmCQCDr9HTem1boxejaL502U2o9klOYbGxSn3WeLTonBQtrncZ89KGQSbRj7SwzWwHFWC7aU0lQATrtECc0B1/s1536/Lerikh-thikoranir-songskriti-asim-singha.png,সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “নিয়মসেবা বারো বিষ্ণুপ্রিয়া মণিপুরি সমাজে ‘লেইরিক থিকরানি’ সংস্কৃতির বিবর্তনর ইতিহাস” লেখাটির ফিচার্ড ছবি। লেখক: কুঙ্গ থাঙ; প্রকাশ: ১৬ জুলাই ২০২৫।
লেইরিক থিকরানি পরিবেশনা — প্রসঙ্গচিত্র,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiHkoU5gMyULCyF6ykeFtTF6amNpDvFvKilFSQwgd96hRaNks8qt94hyzAUt8irAvSsygLW8Ri0J8aUxh7WCJUoMNpv1dZ7s9Xp063Tf5J66mU26neCjf5ONmB7T-cYZxkoMVz5i2XmtKRvpoOiNzTN5y0dnujGh78S-_BruUvz4AtguUXQGM3Aqp6XnJka/s1536/Lerikh-thikoranir-songskriti-asim-singha-2.png,সংস্কৃতি,নিংশিং চে-তে প্রকাশিত “নিয়মসেবা বারো বিষ্ণুপ্রিয়া মণিপুরি সমাজে ‘লেইরিক থিকরানি’ সংস্কৃতির বিবর্তনর ইতিহাস” লেখায় ব্যবহৃত লেইরিক থিকরানি পরিবেশনার প্রসঙ্গচিত্র। লেখক: কুঙ্গ থাঙ; প্রকাশ: ১৬ জুলাই ২০২৫।
সম্পাদকীয় - ২০২২ সংখ্যা — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgLLogOmrPgc1DRV2tVilc5reLYmYWCSvPj5Nb4rKuo358C09V_B4roRL4ymsEIkQkSALS8-nNScwOW7pTNkFh_Ceuu06Uw-Jy5nU52j83Ka_Xn1tSlCODquL9quLTSO8McEotiVugsnfThkQoth4eYSgab_vQuEPZlb-M058OXfkxFcbZ_yZz6VU4ylyu6/s1024/sompadokiyo-ningshingche-2022.png,সম্পাদকীয়,নিংশিং চে-তে প্রকাশিত “সম্পাদকীয় - ২০২২ সংখ্যা” লেখাটির ফিচার্ড ছবি। লেখক: জিতেন্দ্র কুমার সিংহ; প্রকাশ: ১৪ জুলাই ২০২৫।
ভূমিকা - ২০২২ সংখ্যা — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgTrQqcwqnbaVkpzedXZSwXqMC_mpps09G2QnXuD8N2J_cNzUVIG0sH3u9c3KDR9EvUw-uc_NVyuVXCOGzJLbkU42S_szG9kXE2TQaHGvnyDbMdOp6RPDhjoRaukHcM2t69RjpgiJCHZQ3Hjf1hAHLhRgi4o7CwJYUoO7hWaVQhXAspWCjJJGXc52_PhXNS/s1024/Vumika-ningshingche-2022.png,ভুমিকা,নিংশিং চে-তে প্রকাশিত “ভূমিকা - ২০২২ সংখ্যা” লেখাটির ফিচার্ড ছবি। লেখক: কাজল সিংহ; প্রকাশ: ১৪ জুলাই ২০২৫।
হত্তরমিঞা আউর (ওয়ারি) — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiIkq0rxO49cYWFACkX7fB80ydfQYQKD_hyEPjulrmRFXX0tKOGVgYWKpARc0aby0tD0PWniPC2clJHDcW2fLoBHqMbAyVvl5Y1RBjP4rxQgQoaZgbSKUvKZO2gbR5676AD38F2AMAcJFjuC4N6q3aEo_JcTaOm1cYXgA1yfKQ5WP4lcWcgntazVI59yyrU/s1013/%E0%A6%B9%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A6%AE%E0%A6%BF%E0%A6%9E%E0%A6%BE-%E0%A6%86%E0%A6%89%E0%A6%B0-%E0%A6%85%E0%A6%B0%E0%A7%8D%E0%A6%9A%E0%A6%A8%E0%A6%BE-%E0%A6%B8%E0%A6%BF%E0%A6%A8%E0%A6%B9%E0%A6%BE.png,সাহিত্য,নিংশিং চে-তে প্রকাশিত “হত্তরমিঞা আউর (ওয়ারি)” লেখাটির ফিচার্ড ছবি। লেখক: অর্চনা সিংহ; প্রকাশ: ১১ জুলাই ২০২৫।
মহা রাসলীলা — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgmuwhZdpdbR7y8q-tQmPsFp8BwpCnEqYw6uI3e0zIoN2nEB525-GS4_HgDsXEduR-H5AnHkmQLoeA_oJpdrF2fH8505lJKa6aTBCLDV9MYYhSG_dgdcb5RCwBtupHCWpOla8WYYEiUzOSvIKUyPEc7_NNy8FE3Tju-H3yPOZB30Ax995mHSiWhyphenhyphenZwjwoVa/s1536/%E0%A6%AE%E0%A6%B9%E0%A6%BE-%E0%A6%B0%E0%A6%BE%E0%A6%B8%E0%A6%B2%E0%A7%80%E0%A6%B2%E0%A6%BE-%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%80-%E0%A6%A8%E0%A6%AC%E0%A6%95%E0%A7%81%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9.png,ধর্ম,নিংশিং চে-তে প্রকাশিত “মহা রাসলীলা” লেখাটির ফিচার্ড ছবি। লেখক: শ্রী নবকুমার সিংহ; প্রকাশ: ১১ জুলাই ২০২৫।
বেয়াপার মাঙগ অনা বা ঋতুস্রাব — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjot8Qo8XQHkubZRhKoAOFoFKvIrZ_xEdHs5cw7C3MIOfYb7LPolx4i5AgHND1Y0B3kBTj9AeOisrpYDK_WbpGeci9RArDNvosNqhjPtObkOiV_ys8we_pwa769D63AWlwwxlgrM0QTREf-2DKmnxSPaKe8NIkQCfNFOo5D9exytv_8w3_yWJfvIrmtCuNI/s1023/%E0%A6%AC%E0%A7%87%E0%A7%9F%E0%A6%BE%E0%A6%AA%E0%A6%BE%E0%A6%B0-%E0%A6%AE%E0%A6%BE%E0%A6%99%E0%A6%97-%E0%A6%85%E0%A6%A8%E0%A6%BE-%E0%A6%AC%E0%A6%BE-%E0%A6%8B%E0%A6%A4%E0%A7%81%E0%A6%B8%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AC-%E0%A6%AA%E0%A6%B2%E0%A,রকমারি,নিংশিং চে-তে প্রকাশিত “বেয়াপার মাঙগ অনা বা ঋতুস্রাব” লেখাটির ফিচার্ড ছবি। লেখক: পলাশ সিংহ হিমাদ্র; প্রকাশ: ১১ জুলাই ২০২৫।
বাংলাদেশে মণিপুরী যত ব্যান্ড — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj3FBweQAz8Q7dzXlLrEq2khWH6-y4mZjjAPs752k9HyTRWE8zY17C63fWGYNJoNwjBa_tdqZfHx6OdMM8m_ZLyidJDBdMxl_hTAePy1Q8fshPI8DM2OffBZ3Q_lcZSAgLDkL8sXBi-zS4HXkSjwg7Foti_qjEK2FB1kPBEkN-7jQ4CFJKnXXyWHtoncHyx/s1248/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87-%E0%A6%AE%E0%A6%A3%E0%A6%BF%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A7%80-%E0%A6%AF%E0%A6%A4-%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1-%E0%A6%A8%E0%A6,রকমারি,নিংশিং চে-তে প্রকাশিত “বাংলাদেশে মণিপুরী যত ব্যান্ড” লেখাটির ফিচার্ড ছবি। লেখক: নিংশিং চে; প্রকাশ: ১১ জুলাই ২০২৫।
মিঙাল ব্যান্ড,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjwcwFvg5dpw28spyX1ZMflRsb379fK_6_bkn_YJLWN7bIrzyz1w31GsURB4ZoikEPqo_dV7IHzHAWtkmJmSmq_2JCA-aAmvv3QuxZ3dDN4aGJhAceA8wX1D-tqm-87gECofMTIGJ3B5PKusGH5taM_LD-g8Xf2ZYXNLs-YIuaXQ4uB_c35hTodX6WJa9s2/s2048/Mingal-Band.jpg,রকমারি,নিংশিং চে-তে প্রকাশিত “বাংলাদেশে মণিপুরী যত ব্যান্ড” লেখায় ব্যবহৃত মিঙাল ব্যান্ডের সদস্যদের আলোকচিত্র। লেখক: নিংশিং চে; প্রকাশ: ১১ জুলাই ২০২৫।
মণিপুরী ব্যান্ড অ্যাসোসিয়েশন (MBA),https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi5jKrsbBIQXUcZfNwB-d_wfeZgNRDdxxjTNM9Z6HYTW99xI00Htcwo31TK0rbOVI0KCXmNgXIhEIMaTuXY32n3hdQretLik9QiCeBTyTS28XPH3GzWaM4O4x2-DlOkQONMd3vK64bUh1sz4dqEDyJU5iGq0wYnve5Gtpiv_03jyc0xNjhWVbt-qAOgxVre/s3016/MBA%20members.jpg,রকমারি,নিংশিং চে-তে প্রকাশিত “বাংলাদেশে মণিপুরী যত ব্যান্ড” লেখায় ব্যবহৃত মণিপুরী ব্যান্ড অ্যাসোসিয়েশন (MBA)-এর দলীয় আলোকচিত্র। লেখক: নিংশিং চে; প্রকাশ: ১১ জুলাই ২০২৫।
নিষ্ক্রিয় ব্যান্ড,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiwGx5VwI02-tWzwYowkhOXmqg2PmGviAfCrc_wN8l6h9Ms6EbhU_9lp1g6iAx25ski76aMuijBKgMehlPnMz8EqZoMQSwzvEEJ7QzIAbYcxbn1HTZlTbMBdMO84L5YYmcLoRGste6pJ9m1FbCNP06BH9ho4pkpVqg9Z9aXQl2ImTxjpEmatSnzSbqb6kAd/s1955/Band%20Members.jpg,রকমারি,নিংশিং চে-তে প্রকাশিত “বাংলাদেশে মণিপুরী যত ব্যান্ড” লেখায় ব্যবহৃত নিষ্ক্রিয় ব্যান্ডের মঞ্চ পরিবেশনার আলোকচিত্র। লেখক: নিংশিং চে; প্রকাশ: ১১ জুলাই ২০২৫।
জাজমেন্ট কল ব্যান্ড,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEirx7a_D1bLzt17CrVqN2N1V4rQAGgww-p6AwJYre9tCvjp-dys8IFF3zCexUIBjPOVS39Vtz-lFl9QPPtR_rWNcWrGE-bp7XRgxr1fB_S5HrSPaLw0Jofxj4aU14nLNe0gi9J7UBtkBeVxcSZF6YA6xoEavsviCc0jDv-42XbBU9nYYZk-0sDTwTDeSbsH/s2000/Band%20Members.png,রকমারি,নিংশিং চে-তে প্রকাশিত “বাংলাদেশে মণিপুরী যত ব্যান্ড” লেখায় ব্যবহৃত জাজমেন্ট কল ব্যান্ডের সদস্য ও পরিবেশনার কোলাজ। লেখক: নিংশিং চে; প্রকাশ: ১১ জুলাই ২০২৫।
ইতাউ ব্যান্ড,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjytOEIBJVK-XHXHJBLEE3GpVuHOvD6UsZUuUnxI-XVdhFZtNKZCIAwqpZjxdqt4vCmyMqLHjcAT9UCk6e3TLyNT6TZ0CUiOKWMIki6MpzcME_4kp1b74L7ggFpa4uYtilcdU-NRRFULNya-iG6CARS1Wd7Mypl_jZMq4Eai-BIMpPY-1VYEDYn24_9vxjV/s1282/Band%20Memebrs.jpg,রকমারি,নিংশিং চে-তে প্রকাশিত “বাংলাদেশে মণিপুরী যত ব্যান্ড” লেখায় ব্যবহৃত ইতাউ ব্যান্ডের সদস্য ও পরিবেশনার কোলাজ। লেখক: নিংশিং চে; প্রকাশ: ১১ জুলাই ২০২৫।
টেক্সটাইল বারো ফ্যাশন ডিজাইন ভবিষ্যতর কেইরাকহান — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj39khqDUq0HDeSm9xMveNCbL3joSt7pTJLjG7S_gnx054sV_NwuU3rVHIg6pxqUGTXXB26-PSme5OkvrHBrwdPsLwpKyBBJiyG5HhtjpnHZVrJZ6K5DF0SU3iBhOtb2Qc7eQeT0NXVj59fJx_7Uhu4LM_xRe2J1c1m10Q7KeY-5C9e-B1k8MRZYx93EVXI/s1019/%E0%A6%9F%E0%A7%87%E0%A6%95%E0%A7%8D%E0%A6%B8%E0%A6%9F%E0%A6%BE%E0%A6%87%E0%A6%B2-%E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A7%8B-%E0%A6%AB%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B6%E0%A6%A8-%E0%A6%A1%E0%A6%BF%E0%A6%9C%E0%A6%BE%E0%A6%87%E0%A6%A8-%E0%A6%AD%E0%A6,রকমারি,নিংশিং চে-তে প্রকাশিত “টেক্সটাইল বারো ফ্যাশন ডিজাইন ভবিষ্যতর কেইরাকহান” লেখাটির ফিচার্ড ছবি। লেখক: অরুন কুমার সিংহ; প্রকাশ: ১১ জুলাই ২০২৫।
চামবুট বারো ইরোলপা - বিষ্ণুপ্রিয়া মণিপুরির সুপার ফুড — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjs4mPoVeBC45KlQ8HwtaUqLFoIBAjeg_1lpQNPD4wusHAlDEWu21hJNpVva2461uZshgs4SSNhZiJNW4vAdqEJsl4JfteDIcMP_IujJlGGAObSBHdOJpmhnUUFmpaVnWyaWc9oE7gLg-H7oMm8svIFiMkk7iGaba1o2lWR8xyj3aCVdsksrRujwm9JK-yx/s1024/%E0%A6%9A%E0%A6%BE%E0%A6%AE%E0%A6%AC%E0%A7%81%E0%A6%9F-%E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A7%8B-%E0%A6%87%E0%A6%B0%E0%A7%8B%E0%A6%B2%E0%A6%AA%E0%A6%BE-%E0%A6%AC%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%A3%E0%A7%81%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%,বিজ্ঞান ও প্রযুক্তি,নিংশিং চে-তে প্রকাশিত “চামবুট বারো ইরোলপা - বিষ্ণুপ্রিয়া মণিপুরির সুপার ফুড” লেখাটির ফিচার্ড ছবি। লেখক: ডা. স্বপন কুমার সিংহ; প্রকাশ: ১১ জুলাই ২০২৫।
কঙালা রইদগরে (কবিতা) — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEigWf9cxmQlB4Ammo9D15B_EkVDhwb-RfJXGZ9XecvrIfVGnK2qVLO4hMpeBl9M2TUQ_pvehr2Hen0nH-xA2Sx9dM91v0ophyqzfan7PojMwURscecd_C3EJC6Mv8OhVHkrYbPIETySW3BJJyEpiG-4NZ0I9It4ycau7qd6otBPY_Pvv8gatUUqCkrqs5iT/s1021/%E0%A6%95%E0%A6%99%E0%A6%BE%E0%A6%B2%E0%A6%BE-%E0%A6%B0%E0%A6%87%E0%A6%A6%E0%A6%97%E0%A6%B0%E0%A7%87-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE-%E0%A6%B6%E0%A7%81%E0%A6%AD%E0%A6%BE%E0%A6%B6%E0%A6%BF%E0%A6%B8-%E0%A6%B8%E0%A6%BF%E0%A6%A8%E0%A6,কবিতা,নিংশিং চে-তে প্রকাশিত “কঙালা রইদগরে (কবিতা)” লেখাটির ফিচার্ড ছবি। লেখক: শুভাশিস সিনহা; প্রকাশ: ১১ জুলাই ২০২৫।
ইতাও তি (কবিতা) — ফিচার্ড ছবি,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhLL0Ah-f7tBbPJ1DKyEN6oFntqviguqzJBeMzYE4FcRP13EHx1U6e8f738ZzUN5lbsOfh0m-jk6kXq65p9F0P7M8w3lkrWNtRk_y8FGK4vIt5CzUfAMNhkR-o_ahfkBlJyojuZLAaoJU14SLwkzPZu0lq2B3_ctGZbYU-GT3Sufj5E80Gg8VvQJKvMzkcw/s1024/%E0%A6%87%E0%A6%A4%E0%A6%BE%E0%A6%93-%E0%A6%A4%E0%A6%BF-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE-%E0%A6%A1-%E0%A6%B0%E0%A6%A3%E0%A6%9C%E0%A6%BF%E0%A6%A4-%E0%A6%B8%E0%A6%BF%E0%A6%82%E0%A6%B9.png,কবিতা,নিংশিং চে-তে প্রকাশিত “ইতাও তি (কবিতা)” লেখাটির ফিচার্ড ছবি। লেখক: ড. রণজি্ত‌ সিংহ; প্রকাশ: ১১ জুলাই ২০২৫।
